YYYYMM,Long_ACCRUAL_ADJ,Short_ACCRUAL_ADJ,Spread_ACCRUAL_ADJ,Long_ASSET_GROWTH,Short_ASSET_GROWTH,Spread_ASSET_GROWTH,Long_COMPOSITE_ISSUE,Short_COMPOSITE_ISSUE,Spread_COMPOSITE_ISSUE,Long_DISTRESS,Short_DISTRESS,Spread_DISTRESS,Long_GP_ADJ,Short_GP_ADJ,Spread_GP_ADJ,Long_INVASSET,Short_INVASSET,Spread_INVASSET,Long_MOMENTUM,Short_MOMENTUM,Spread_MOMENTUM,Long_NOA,Short_NOA,Spread_NOA,Long_OSCORE,Short_OSCORE,Spread_OSCORE,Long_ROA,Short_ROA,Spread_ROA,Long_STOCK_ISSUE,Short_STOCK_ISSUE,Spread_STOCK_ISSUE
197904,0.01332,-0.000049,0.013368374,0.019198,0.006972,0.012225835,0.012807,0.010516,0.002291221,0.009178,0.023719,-0.014541513,-0.000112,-0.002628,0.002516561,0.014342,0.015447,-0.001104583,0.014025,0.009824,0.004201322,0.005241,0.004426,0.000815623,0.005119,0.033375,-0.028256775,0.006222,0.022251,-0.01602915,0.006929,0.000712,0.006217081
197905,-0.007338,-0.02864,0.021302546,-0.01114,-0.019911,0.008771039,-0.013051,-0.016098,0.003047172,-0.017877,-0.026095,0.008218345,-0.021615,0.004316,-0.025930476,-0.011163,-0.017009,0.005845677,-0.008639,-0.024372,0.015733808,-0.009089,-0.009987,0.000897953,-0.023428,-0.02077,-0.002657616,-0.012888,-0.009422,-0.003465811,-0.015347,0.001219,-0.016566431
197906,0.064767,0.040774,0.023992944,0.06961,0.052898,0.016712704,0.052021,0.053241,-0.001219715,0.012842,0.092307,-0.079465272,0.001668,0.077419,-0.075750943,0.063732,0.044117,0.019614562,0.069099,0.061905,0.007193866,0.066311,0.067305,-0.000993923,0.020112,0.078297,-0.05818502,0.043361,0.068419,-0.025057616,0.040695,0.045333,-0.004638272
197907,0.018814,0.02552,-0.00670634,0.039951,0.022054,0.017897547,0.014755,0.032669,-0.01791329,0.012206,0.034278,-0.022072472,-0.008901,0.028452,-0.037352439,0.026772,0.019098,0.007674209,0.018459,0.026828,-0.008369427,0.029817,0.010981,0.01883598,-0.005501,0.022653,-0.028153393,0.001333,0.030622,-0.02928907,0.007409,0.02435,-0.016940973
197908,0.06991,0.096051,-0.026140512,0.064515,0.086382,-0.021866602,0.055796,0.064198,-0.008402076,0.068979,0.060609,0.008369747,0.060888,0.043183,0.017704584,0.069208,0.09277,-0.023561695,0.07217,0.082456,-0.010285496,0.053,0.073726,-0.020726801,0.058623,0.067642,-0.009019048,0.074761,0.053476,0.021285123,0.052666,0.063688,-0.011021658
197909,0.037114,-0.008916,0.046029424,0.012492,-0.001411,0.013903689,0.011905,-0.009799,0.021704635,0.01365,-0.031336,0.044985625,-0.020894,-0.021694,0.000800743,0.001569,-0.001074,0.002643745,0.043045,-0.035337,0.078382251,-0.017339,-0.002778,-0.014561314,-0.004934,-0.010279,0.005345136,-0.001199,-0.025434,0.024234958,0.011102,-0.009426,0.020528007
197910,-0.052023,-0.094388,0.042364684,-0.08744,-0.085532,-0.001907769,-0.080468,-0.077462,-0.003005886,-0.057043,-0.140276,0.083233089,-0.077109,-0.096699,0.019589945,-0.107131,-0.085949,-0.021181634,-0.062803,-0.12508,0.06227615,-0.092026,-0.076578,-0.015447754,-0.063807,-0.11538,0.051573536,-0.074394,-0.110665,0.036271431,-0.062655,-0.071628,0.008973078
197911,0.066431,0.093794,-0.027362769,0.087032,0.095299,-0.008267481,0.037042,0.090114,-0.053072044,0.050657,0.063162,-0.012505564,0.060485,0.060248,0.000236583,0.074347,0.096646,-0.022298461,0.123133,0.028336,0.094797427,0.050054,0.100557,-0.050503571,0.044697,0.123243,-0.07854647,0.069597,0.024844,0.044752996,0.041073,0.078377,-0.037303478
197912,0.031371,0.041992,-0.010621079,0.084968,0.05272,0.032247242,0.001786,0.040859,-0.039072241,0.030012,0.045092,-0.015080669,0.011721,0.010193,0.001527396,0.054283,0.046491,0.00779236,0.089392,0.019815,0.069577389,0.040625,0.045204,-0.004578945,0.009129,0.096088,-0.086958864,0.04527,0.020082,0.025187496,0.015026,0.036541,-0.021515025
198001,0.132485,0.063722,0.068763597,0.077628,0.063171,0.014456391,0.082116,0.057484,0.024632561,0.093682,0.069404,0.024277578,0.016978,0.027732,-0.010754021,0.078216,0.056636,0.0215804,0.137278,0.035823,0.101455192,0.064492,0.060991,0.003501134,0.046289,0.102583,-0.056293615,0.039629,0.046147,-0.006517986,0.091862,0.055633,0.036229229
